,Centrality
1,0.6451612903225806
2,0.8064516129032258
9,0.8387096774193548
10,0.8709677419354839
16,0.22580645161290322
17,0.5806451612903225
18,0.5806451612903225
19,0.3225806451612903
20,0.3548387096774194
21,0.6774193548387096
22,0.3870967741935484
23,0.3870967741935484
24,0.3870967741935484
25,0.4193548387096774
26,0.4193548387096774
27,0.29032258064516125
28,0.3548387096774194
29,0.3548387096774194
30,0.3870967741935484
31,0.4193548387096774
32,0.25806451612903225
3,0.06451612903225806
4,0.03225806451612903
5,0.4193548387096774
6,0.8387096774193548
7,0.8709677419354839
8,0.0967741935483871
11,0.6129032258064516
12,0.7419354838709677
13,0.16129032258064516
14,0.16129032258064516
15,0.16129032258064516
