,Centrality
5,1.0
17,1.0
18,1.0
20,0.6129032258064516
6,1.0
7,1.0
9,0.967741935483871
10,0.967741935483871
11,0.967741935483871
12,0.8709677419354839
13,0.967741935483871
14,0.9354838709677419
15,0.9354838709677419
16,0.9354838709677419
26,0.9032258064516129
28,0.9354838709677419
31,0.9032258064516129
21,0.967741935483871
19,1.0
22,0.9354838709677419
30,0.9354838709677419
32,0.967741935483871
23,0.9354838709677419
24,0.7419354838709677
25,0.9032258064516129
27,0.9354838709677419
29,0.9354838709677419
2,1.0
8,0.9354838709677419
3,0.967741935483871
4,0.6774193548387096
1,1.0
