,Centrality
18,0.967741935483871
19,0.967741935483871
20,0.967741935483871
21,0.967741935483871
22,1.0
23,1.0
31,0.967741935483871
24,1.0
30,0.9354838709677419
29,0.967741935483871
28,0.9354838709677419
5,1.0
16,0.967741935483871
6,1.0
27,0.967741935483871
1,1.0
25,1.0
4,1.0
17,0.967741935483871
26,0.967741935483871
32,0.967741935483871
12,0.967741935483871
9,0.967741935483871
11,0.967741935483871
10,0.967741935483871
7,1.0
14,0.967741935483871
13,0.967741935483871
15,0.7741935483870968
8,0.4838709677419355
2,1.0
3,1.0
