,Centrality
1,0.6206896551724138
12,0.13793103448275862
13,0.13793103448275862
14,0.27586206896551724
15,0.10344827586206896
17,0.6896551724137931
18,0.6551724137931034
19,0.6206896551724138
20,0.27586206896551724
21,0.6896551724137931
22,0.3448275862068966
23,0.3448275862068966
24,0.41379310344827586
26,0.5172413793103449
27,0.3103448275862069
28,0.4482758620689655
29,0.48275862068965514
30,0.48275862068965514
31,0.48275862068965514
4,0.27586206896551724
6,0.3793103448275862
7,0.6551724137931034
9,0.6206896551724138
10,0.06896551724137931
11,0.7931034482758621
5,0.034482758620689655
8,0.24137931034482757
16,0.1724137931034483
25,0.5172413793103449
32,0.41379310344827586
